HIM Compentency-Workforce Data Dictionary,,,,,,,
"Created from uploaded AHIMA Careers, HIMSS Jobs-Qualifications, and Job Descriptions-Qualifications spreadsheets. Generated 2026-07-01.",,,,,,,
,,,,,,,
Variable Name,Label,Definition,Data Type,Allowed Values / Examples,Applies To,Source Sheet / Column,Notes for Coding
record_id,Record ID,Unique identifier assigned to each row or job record in the combined workforce dataset.,String,001; 002; AHIMA001; HIMSS001,All datasets,Job Descriptions: ID; researcher assigned for AHIMA/HIMSS if needed,Keep unique across datasets. Do not reuse IDs.
dataset_source,Dataset Source,Identifies which uploaded spreadsheet or reference source the job record came from.,Categorical,AHIMA Career Map; HIMSS Job Descriptions; Graduate Database; LinkedIn; Indeed,All datasets,Researcher assigned from workbook name,"Use this to separate career map roles, HIMSS sample roles, and current job postings."
collection_date,Collection Date,Date the job information or source file was collected or last revised.,Date,2026-06-24; 2025-10,"AHIMA, HIMSS, job postings",AHIMA row 1; HIMSS row 1; researcher assigned for job postings,"Use YYYY-MM-DD when available. If only month/year is available, record as text or use the first day of the month and explain in notes."
source_url,Source URL,"Plain text URL for the original career map, HIMSS document, or job posting source when available.",String,https://my.ahima.org/career-mapping/career-map/,All datasets,AHIMA row 2; HIMSS row 2; job posting source/link if collected,Keep full URL when available for reproducibility.
source_platform,Source Platform,Website or platform where the job record was found.,Categorical,Indeed; LinkedIn; AHIMA Career Map; HIMSS Job Descriptions,All datasets,Job Descriptions: Source; AHIMA/HIMSS researcher assigned,Use original platform name. Do not combine LinkedIn and Indeed into one value.
job_title,Job Title,Exact job title listed in the source spreadsheet or job posting.,String,Health Information Manager; Application Analyst; Coding Quality Auditor,All datasets,AHIMA: Job Title; HIMSS: Job Title; Job Descriptions: Job Title/Title,Preserve the original wording from the source.
alternate_titles,Alternate Titles,"Alternate job titles, role aliases, or similar names listed for the position.",String or Long Text,Systems Analyst; Reporting Analyst; Medical Records Director,"AHIMA, HIMSS, optional job postings",AHIMA: Alternate Name; HIMSS: Alternative Names,Separate multiple values with bullets or semicolons. Leave blank if not listed.
employer,Employer,Hiring organization associated with a job posting.,String,Ochsner Health; Houston Methodist; Cotiviti,Job postings,Job Descriptions: Employer/Company,"Use the employer name exactly as listed, then standardize later only if needed."
location,Location,"City, state, region, or remote location listed for the job.",String,"Ferriday, LA; Houston, TX; Remote",Job postings,Job Descriptions: Location,Keep state abbreviation when available. Use Remote only when location is listed that way.
work_setting,Work Setting,"Indicates whether the position is remote, hybrid, or onsite.",Categorical,Remote; Hybrid; On Site; Not Specified,Job postings,Job Descriptions: Work Setting; Location if work setting is embedded there,Use On Site for fully in person roles. Use Not Specified when unclear.
career_level,Career Level,Researcher assigned or source provided career stage for the role.,Categorical,Entry; Mid; Advanced; Expert; Mid to Upper; Not Specified,All datasets,HIMSS: Experience Level; Job Descriptions: Career level; AHIMA researcher assigned if needed,"Use source value when provided. For AHIMA, assign only if supported by role description."
himss_category,HIMSS Category,HIMSS role category that identifies broad role orientation.,Categorical,Business; Clinical; Technical; Not Applicable; Not Specified,"HIMSS, job postings if mapped",HIMSS: Category; Job Descriptions: Category,Use Not Applicable for AHIMA records unless mapped to HIMSS categories.
beebe_domain,Dr. Beebe Workforce Domain,Workforce domain assigned using Dr. Beebe's seven domain framework.,Categorical,"Privacy, Risk & Compliance; Data Quality & Population Health; Revenue Cycle Management; Consumer Health Information; Data Analytics; Informatics; Administration","AHIMA, HIMSS, job postings if assigned",AHIMA: Domain (Dr. Beebe); HIMSS: Domain (Dr. Beebe); researcher assigned for job postings,"Assign based on the primary responsibilities of the role, not just the job title."
ahima_career_map_domain,AHIMA Career Map Domain,AHIMA career map domain or category associated with the role.,Categorical,Coding and Revenue Cycle; Informatics; Data Analytics; Information Governance,AHIMA and mapped job postings,AHIMA: Domain; Job Descriptions: AHIMA Domain,"Use original AHIMA language when listed. If multiple domains apply, separate with bullets."
ahima_rhia_domain_alignment,AHIMA RHIA Domain Alignment,RHIA exam content domain or domains aligned to the job responsibilities or qualifications.,Categorical or Long Text,"Data & Information Governance; Compliance with Access, Use & Disclosure of Health Information; Data Analytics & Informatics; Revenue Cycle Management; Management & Leadership",Job postings and analysis,Job Descriptions: AHIMA Domain,Multiple domains are allowed. Use bullets when more than one domain applies.
himss_domain_alignment,HIMSS Domain Alignment,HIMSS certification domain or skill area aligned to the job responsibilities or qualifications.,Categorical or Long Text,"Healthcare Information & Systems Management; Strategy, Governance & Organizational Management; Measurement & Improvement; Digital Health Ecosystem",Job postings and analysis,Job Descriptions: HIMSS Domain,Multiple domains are allowed. Use bullets when more than one domain applies.
education_requirements,Education Requirements,"Degree, diploma, or educational preparation required or preferred for the role.",Long Text,High school diploma/GED; Associate degree; Bachelor's degree; Master's preferred; Doctoral degree,"AHIMA, HIMSS, job postings",AHIMA: Education Requirements; HIMSS: Education Requirements; Job Descriptions: Required/Preferred Qualifications when education appears there,Keep required and preferred education separate when possible. Bullet format is recommended.
required_qualifications,Required Qualifications,"Minimum qualifications, required skills, credentials, education, or experience for the position.",Long Text,Required credential; required years of experience; required technical skills,Job postings,Job Descriptions: Required Qualifications; Qual: Qualification when required,Do not include preferred items unless the posting lists them as required.
preferred_qualifications,Preferred Qualifications,"Qualifications that are preferred, desired, or a plus but not required.",Long Text,Master's preferred; healthcare experience preferred; CCS preferred,Job postings,Job Descriptions: Preferred Qualifications,Anything labeled preferred should be listed separately from required qualifications.
credential_required,Credential Required,"Certification, credential, or license required for the role.",String or Long Text,RHIA; RHIT; CCS; CPC; CCA; BLS; Not Specified,"Job postings, AHIMA, HIMSS",Job Descriptions: Credential Required; AHIMA/HIMSS education or qualifications columns,Use Not Specified when no credential is listed. Separate multiple credentials with semicolons.
credential_preferred,Credential Preferred,"Certification, credential, or license preferred but not required for the role.",String or Long Text,CCS preferred; CHDA preferred; AHIMA ICD-10 Approved Trainer,"Job postings, AHIMA, HIMSS",Job Descriptions: Credential Preferred; AHIMA/HIMSS qualifications columns,Use Not Specified when no preferred credential is listed.
experience_requirements,Experience Requirements,Years of experience or type of prior work experience listed for the role.,Long Text,2+ years; 5 years coding experience; prior HIM management experience,All datasets,AHIMA: Work Requirements; HIMSS: Work Requirements/Qualifications; Job Descriptions: Required/Preferred Qualifications,Extract years separately if later quantitative analysis is needed.
work_requirements,Work Requirements,Work experience requirements and job related requirements listed in the source.,Long Text,SQL experience; EHR proficiency; HIPAA compliance; report writing,"AHIMA, HIMSS, optional job postings",AHIMA: Work Requirements; HIMSS: Work Requirements,Remove education requirements from this field if education is already captured separately.
long_description,Long Description,"Narrative summary of the role purpose, scope, or overall responsibilities.",Long Text,Serves as liaison between IT and operations; supports data mining and reporting,"AHIMA, HIMSS",AHIMA: Long Description; HIMSS: Long Description,Remove repeated job title wording when cleaned for readability.
primary_responsibilities,Primary Responsibilities,"Main duties, tasks, or responsibilities listed for the role.",Long Text,Maintain data schema; create reports; support EHR applications; validate coding accuracy,HIMSS and job postings when available,HIMSS: Primary Responsibilities; job postings if collected,Bullet format recommended for readability.
qualifications,Qualifications,"Combined qualifications listed by the source, excluding education when education is already recorded separately.",Long Text,Technical skills; communication skills; regulatory knowledge; experience requirements,HIMSS and job postings,HIMSS: Qualifications; Qual: Qualification,Keep concise but do not remove important requirements.
technical_skills,Technical Skills,"Software, system, data, coding, analytics, or technology skills required or preferred.",Long Text,SQL; Tableau; Power BI; Excel; EHR; ICD-10-CM; CPT; FHIR,Derived from all datasets,"Extracted from qualifications, work requirements, and responsibilities",Optional analysis field. Use only if skills are coded separately.
